Test Case ID,Module,Test Case Title,Test Steps,Test Data,Expected Result,Actual Result,Test Result (Pass/Fail),Remarks (Type/Priority/Covers)
SCI-01,Self Cash-in (Stripe),Full cash-in completes and wallet/ledger update correctly (happy path),"1. POST /transaction/stripe/create-intent {amount:500}
2. Confirm card payment client-side with 4242 4242 4242 4242, any future expiry, any CVC
3. POST /transaction/stripe/confirm with the paymentIntentId","Customer1: customer1@dmoney.com / 01686606902, balance <= 9500
Amount: 500","create-intent 200 (clientSecret, amount 500, minAmount 10, maxAmount 10000); confirm 201 (trnxId=paymentIntentId, amount 500, currentBalance=old+500); 2 ledger rows share trnxId (SYSTEM debit 500 / Customer credit 500); Step 3 receipt matches.",,,Type: Functional | Priority: High | Covers: controller.js:171-192 (core flow + ledger correctness)
SCI-02,Self Cash-in (Stripe),Cash-in succeeds at exact minimum boundary amount (10 tk),"1. create-intent {amount:10}
2. Complete payment with valid card, confirm","Customer1, balance <= 9990
Amount: 10",create-intent 200 (not rejected as below-minimum); confirm 201; wallet credited by exactly 10.,,,"Type: Functional | Priority: Medium | Covers: controller.js:62 boundary (amt<minAmount, 10 is inclusive)"
SCI-03,Self Cash-in (Stripe),"Cash-in succeeds when resulting balance lands exactly at the 10,000 tk wallet cap","1. Set balance to exactly 9950
2. create-intent {amount:50}
3. Complete payment, confirm","Customer1, balance=9950
Amount: 50",create-intent 200 (50 <= remaining 50); confirm 201 with currentBalance=10000.,,,"Type: Functional | Priority: High | Covers: controller.js:80 boundary (amt>remaining, inclusive edge)"
SCI-04,Self Cash-in (Stripe),3D Secure (SCA) required card completes successfully once authenticated,"1. create-intent {amount:300}
2. Submit card 4000 0025 0000 3155, approve the 3DS challenge modal
3. confirm with resulting paymentIntentId","Customer1, balance <= 9700
Amount: 300
Card: 4000 0025 0000 3155",confirmCardPayment resolves succeeded after authentication; /confirm returns 201; wallet credited by 300.,,,"Type: Functional | Priority: High | Covers: page.tsx:77-80 SCA path, distinct from plain-card happy path"
SCI-05,Self Cash-in (Stripe),Amount below minimum is rejected with exact business message,1. create-intent {amount:9.99},"Customer1
Amount: 9.99",400 { message: 'Minimum cash-in amount is 10 tk' }; no PaymentIntent created.,,,Type: Negative | Priority: Medium | Covers: controller.js:62-64
SCI-06,Self Cash-in (Stripe),Amount above per-transaction maximum is rejected independent of wallet headroom,"1. Set balance to 0 (proves per-txn cap fires, not wallet cap)
2. create-intent {amount:10000.01}","Customer1, balance=0
Amount: 10000.01",400 { message: 'Maximum cash-in amount is 10000 tk' }.,,,Type: Negative | Priority: Medium | Covers: controller.js:65-67 (distinct decision point from wallet-cap branches)
SCI-07,Self Cash-in (Stripe),Cash-in blocked with 'already at maximum capacity' message when wallet is already at cap,"1. Set balance to 10000
2. create-intent {amount:50}","Customer1, balance=10000
Amount: 50",208 { message: 'Limit exceeded. Your wallet is already at maximum capacity.' }; no PaymentIntent created.,,,Type: Negative | Priority: High | Covers: controller.js:73-77 (distinct branch/message from SCI-08)
SCI-08,Self Cash-in (Stripe),Cash-in blocked with exact remaining-headroom message when amount would push wallet past cap,"1. Set balance to 9950
2. create-intent {amount:50.01}","Customer1, balance=9950
Amount: 50.01",208 { message: 'Limit exceeded. You can cash in a maximum of 50.00 tk.' },,,Type: Negative | Priority: High | Covers: controller.js:78-84 (remaining = maxAmount - currentBalance)
SCI-09,Self Cash-in (Stripe),Non-numeric/zero/negative amount is rejected (equivalence class representative),1. create-intent {amount:'abc'},"Customer1
Amount: 'abc' (represents NaN/zero/negative/falsy class)",400 { message: 'Amount must be a positive number' },,,"Type: Negative | Priority: Low | Covers: controller.js:52-54 — one representative per test-design skill's equivalence-class rule, not enumerated per input variant"
SCI-10,Self Cash-in (Stripe),Card declined by Stripe shows inline error and does not credit wallet (equivalence class),"1. Obtain valid create-intent for amount 200
2. Submit card 4000 0000 0000 0002 (generic decline) on Step 2","Customer1
Amount: 200
Card: 4000 0000 0000 0002",Inline decline error shown on Step 2; user remains on Step 2; /transaction/stripe/confirm never called; wallet unchanged.,,,"Type: Negative | Priority: High | Covers: page.tsx:82-86 — represents all Stripe decline reasons (expired/CVC/insufficient-funds/lost/stolen/generic), one code path"
SCI-11,Self Cash-in (Stripe),Abandoned/failed 3D Secure challenge does not credit the wallet,"1. Obtain valid create-intent for amount 300
2. Submit card 4000 0025 0000 3155 and dismiss/fail the 3DS challenge","Customer1
Amount: 300
Card: 4000 0025 0000 3155 (challenge not completed)",'Payment was not completed. Please try again.' shown on Step 2; wallet not credited; /confirm not called.,,,"Type: Negative | Priority: Medium | Covers: page.tsx:88-93 else-branch, distinct outcome from SCI-04/SCI-10"
SCI-12,Self Cash-in (Stripe),Customer cannot confirm a PaymentIntent belonging to a different customer (anti-spoofing),"1. Customer1 creates a PaymentIntent for amount 200 and completes the card charge (does not call /confirm)
2. As Customer2, POST /transaction/stripe/confirm with Customer1's paymentIntentId","Customer1: 01686606902 (creates PI)
Customer2: customer2@dmoney.com / 01686606903 (attempts confirm)",403 { message: 'Payment intent does not belong to this account' }; Customer2 not credited; Customer1's PI remains unconfirmed via this call.,,,Type: Security | Priority: High | Covers: controller.js:153-157 anti-spoofing metadata check
